"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3337","Verify Confirm Order Message","","Sat Jun 21 19:36:06 GMT+06:00 2025","passed","Sat Jun 21 19:36:09 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","10176","Successfully login with valid credentials","","Sat Jun 21 19:35:29 GMT+06:00 2025","passed","Sat Jun 21 19:35:39 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","1232","Verify Total Price","","Sat Jun 21 19:35:53 GMT+06:00 2025","passed","Sat Jun 21 19:35:55 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","3495","Verify AppState Reset","","Sat Jun 21 19:35:39 GMT+06:00 2025","passed","Sat Jun 21 19:35:42 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","3209","Verify AppState Reset","","Sat Jun 21 19:35:39 GMT+06:00 2025","passed","Sat Jun 21 19:35:42 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","12312","ResetAppState And Logout","","Sat Jun 21 19:36:09 GMT+06:00 2025","passed","Sat Jun 21 19:36:21 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","17195","verify add to cart functionality","","Sat Jun 21 19:35:42 GMT+06:00 2025","passed","Sat Jun 21 19:35:59 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","1175","Verify Total Price","","Sat Jun 21 19:36:04 GMT+06:00 2025","passed","Sat Jun 21 19:36:06 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","1260","Check Product Name","","Sat Jun 21 19:35:52 GMT+06:00 2025","passed","Sat Jun 21 19:35:53 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","13207","Successfully login with valid credentials","","Sat Jun 21 19:35:26 GMT+06:00 2025","passed","Sat Jun 21 19:35:39 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","3411","Check Add to Cart Functionality","","Sat Jun 21 19:35:42 GMT+06:00 2025","passed","Sat Jun 21 19:35:46 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","12415","Verify the error message with locked out user","","Sat Jun 21 19:35:26 GMT+06:00 2025","passed","Sat Jun 21 19:35:39 GMT+06:00 2025","","Saucedemo Login Activity Tests As a Locked_Out_User","",""
"","3283","Verify Confirm Order Message","","Sat Jun 21 19:35:55 GMT+06:00 2025","passed","Sat Jun 21 19:35:58 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","6370","Check Checkout Functionality","","Sat Jun 21 19:35:46 GMT+06:00 2025","passed","Sat Jun 21 19:35:52 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","1085","Check Product Name","","Sat Jun 21 19:36:03 GMT+06:00 2025","passed","Sat Jun 21 19:36:04 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
"","6994","ResetAppState And Logout","","Sat Jun 21 19:35:58 GMT+06:00 2025","passed","Sat Jun 21 19:36:05 GMT+06:00 2025","","Saucedemo website Activity Tests as a Standard_USER","",""
"","3808","Verify Checkout Functionality","","Sat Jun 21 19:35:59 GMT+06:00 2025","passed","Sat Jun 21 19:36:03 GMT+06:00 2025","","Saucedemo Website Activity Tests as a Performance_Glitch_USER","",""
